case_name	description	case_type	solver	status	runtime_sec	note	node_count	element_count	u_size	u_max_abs	u_norm	S_max_abs	E_max_abs	R_max_abs	f_max_abs	U_path_final	F_path_final
cantilever_q4	Q4 cantilever beam	elastic_q4	matlab	ok	6.1073292		27	16	54	0.4794970309139315	1.3280685929934584	3.319925275524771	0.0319999706388152	3.0		-0.4794970309139315	
cantilever_q4	Q4 cantilever beam	elastic_q4	python	ok	0.007445999999999842		27	16	54	0.4794970309139885	1.3280685929936213	3.319925275525228	0.0319999706388196	3.0		-0.4794970309139885	
cantilever_q4	Q4 cantilever beam	elastic_q4	scilab	ok	3.3022169999999997		27	16	54	0.47949699754725666	1.3280684894762809	3.3199252755247226	0.03199997063881474	3.0		-0.47949699754725666	
gmsh_triangle_t3	Triangle mesh cantilever loaded from deneme.msh	elastic_t3_lag	matlab	ok	5.864576700000001		100	166	200	3.146904474038333e-08	1.9444823061897458e-07	0.1589337455511037	2.214867787984496e-09	11.0		-4.792236698600776e-09	
gmsh_triangle_t3	Triangle mesh cantilever loaded from deneme.msh	elastic_t3_lag	python	ok	0.05463280000000026		100	166	200	3.146904474038163e-08	1.9444823061896367e-07	0.1589337455510931	2.214867787984349e-09	11.0		-4.792236698600542e-09	
gmsh_triangle_t3	Triangle mesh cantilever loaded from deneme.msh	elastic_t3_lag	scilab	ok	3.453469		100	166	200	3.14690447403845e-08	1.944482306189823e-07	0.15893374555111017	2.2148677879845865e-09	11.0		-4.792236698601006e-09	
flow_q4	Q4 potential flow	flow_q4	matlab	ok	4.8347722		31	21	31	39.9999995959497	183.17566516480468	0.001500700257335754	15.00700257335754	31.0		39.99999880289958	
flow_q4	Q4 potential flow	flow_q4	python	ok	0.009335399999997662		31	21	31	39.9999995959497	183.17566516480466	0.001500700257335752	15.00700257335752	31.0		39.99999880289958	
flow_q4	Q4 potential flow	flow_q4	scilab	ok	3.571530499999998		31	21	31	40.0	114.89125293076057	0.005333333333333337	53.333333333333364	31.0		40.0	
flow_t3	T3 potential flow	flow_t3	matlab	ok	7.623214000000004		31	42	31	39.99999983701908	182.7065311929443	0.001595873030921789	15.95873030921788	31.0		39.99999924818655	
flow_t3	T3 potential flow	flow_t3	python	ok	0.0096782000000033		31	42	31	39.99999983701908	182.70653119294428	0.00159587303092179	15.9587303092179	31.0		39.99999924818655	
flow_t3	T3 potential flow	flow_t3	scilab	ok	3.7827852999999934		31	42	31	40.00000000000001	114.89125293076059	0.005333333333333335	53.33333333333334	31.0		40.00000000000001	
bar01_nlbar	2D nonlinear bar truss	nlbar	matlab	ok	6.054367800000001		3	2	6	0.1979324003137879	0.1979324003137879	0.0002025959260281877	0.0002025959260281877	2.0	3.948446152364098e-05	-0.1979324003137879	3.948446152364098e-05
