n	u_L2	u_Linf	sigma_L2	sigma_Linf	u_tip_pct
1	6.02253529e-01	7.66666662e-01	1.15296022e+00	2.00000000e+00	3.75000000e+01
2	2.64492177e-01	3.74968734e-01	7.91360578e-01	2.00000000e+00	1.66666667e+01
3	1.16457952e-01	1.51103573e-01	4.91511243e-01	2.00000000e+00	7.55208333e+00
4	7.42001978e-02	1.02436711e-01	4.09356498e-01	2.00000000e+00	4.83333333e+00
5	6.18308144e-02	9.35717266e-02	3.93163925e-01	2.00000000e+00	3.99305556e+00
6	4.55919731e-02	7.51940686e-02	3.46927374e-01	2.00000000e+00	2.93367347e+00
7	2.96821908e-02	4.37164606e-02	2.71992261e-01	2.00000000e+00	1.94091801e+00
8	2.35183105e-02	3.84397700e-02	2.50125206e-01	2.00000000e+00	1.53356436e+00
9	2.18481096e-02	3.88715076e-02	2.47434550e-01	2.00000000e+00	1.41536774e+00
10	1.81481622e-02	3.47349214e-02	2.31141727e-01	2.00000000e+00	1.16994927e+00
11	1.32932800e-02	2.40334235e-02	1.96195493e-01	2.00000000e+00	8.66889153e-01
12	1.24962232e-02	2.36007175e-02	1.89307828e-01	2.00000000e+00	8.15847283e-01
13	1.32155603e-02	2.41540726e-02	1.91065278e-01	2.00000000e+00	8.65541524e-01
14	1.32881660e-02	2.54353805e-02	1.92250621e-01	2.00000000e+00	8.67912360e-01
15	1.29749902e-02	2.29378542e-02	1.91621286e-01	2.00000000e+00	8.49560823e-01
16	1.28125761e-02	2.34896620e-02	1.90867758e-01	2.00000000e+00	8.37658602e-01
17	1.23051454e-02	2.27528317e-02	1.90158846e-01	2.00000000e+00	8.02471483e-01
18	1.35811160e-02	2.43366274e-02	1.91454478e-01	2.00000000e+00	8.91128070e-01
19	1.24775717e-02	2.29051427e-02	1.89918886e-01	2.00000000e+00	8.14933647e-01
20	1.18471270e-02	2.33492372e-02	2.07154681e-01	2.00000000e+00	7.53920199e-01
21	1.23399947e-02	2.29411309e-02	1.93677391e-01	2.00000000e+00	8.02166875e-01
22	1.25738140e-02	2.28733430e-02	1.89357594e-01	2.00000000e+00	8.22248022e-01
23	1.23944377e-02	2.28028233e-02	1.89638416e-01	2.00000000e+00	8.09386367e-01
24	1.20603010e-02	2.25296608e-02	1.88440938e-01	2.00000000e+00	7.86556172e-01
25	8.22660148e-03	2.34519426e-02	2.66599187e-01	2.00000000e+00	3.90441434e-01
26	1.20172862e-02	2.26420226e-02	1.87625958e-01	2.00000000e+00	7.84038331e-01
27	9.64538864e-03	2.13803741e-02	1.90670928e-01	2.00000000e+00	6.10605783e-01
28	1.00093525e-02	2.37987933e-02	2.22095926e-01	2.00000000e+00	6.05761943e-01
29	1.19606622e-02	2.21618936e-02	1.93437173e-01	2.00000000e+00	7.76300202e-01
30	1.15308608e-02	2.24649196e-02	1.91109623e-01	2.00000000e+00	7.46755810e-01
31	1.40429083e-02	2.36131552e-02	1.96327821e-01	2.00000000e+00	9.21717303e-01
32	1.30281622e-02	2.28815658e-02	1.88801588e-01	2.00000000e+00	8.55487806e-01
33	1.35803027e-02	2.29768736e-02	1.90594627e-01	2.00000000e+00	8.92440738e-01
34	1.23001993e-02	2.23987634e-02	1.87796589e-01	2.00000000e+00	8.04379325e-01
35	1.26134140e-02	2.30511320e-02	1.92123348e-01	2.00000000e+00	8.23370938e-01
36	1.34403086e-02	2.28923612e-02	1.91505742e-01	2.00000000e+00	8.82232688e-01
37	1.32065034e-02	2.31143676e-02	1.91809285e-01	2.00000000e+00	8.65600901e-01
38	1.27937390e-02	2.27797747e-02	1.90775515e-01	2.00000000e+00	8.37155131e-01
39	1.73665531e-02	2.57101656e-02	2.60986348e-01	2.00000000e+00	1.12084512e+00
40	1.42307075e-02	2.32567891e-02	1.96179158e-01	2.00000000e+00	9.34552843e-01
41	1.14995916e-02	2.14764171e-02	1.87980137e-01	2.00000000e+00	7.50182039e-01
42	1.30061321e-02	2.25951931e-02	1.92248264e-01	2.00000000e+00	8.49455678e-01
43	1.31977305e-02	2.26913051e-02	1.90895710e-01	2.00000000e+00	8.65519510e-01
44	1.41146702e-02	2.28693425e-02	1.92417514e-01	2.00000000e+00	9.28860446e-01
45	1.39708948e-02	2.15585198e-02	1.89837593e-01	2.00000000e+00	9.20406494e-01
46	1.36110100e-02	2.32545887e-02	1.94693283e-01	2.00000000e+00	8.92209803e-01
47	1.31270904e-02	2.23390815e-02	1.88099559e-01	2.00000000e+00	8.62675512e-01
48	1.35903105e-02	2.32952940e-02	1.95736522e-01	2.00000000e+00	8.90082356e-01
49	1.30939983e-02	2.23897756e-02	1.86998722e-01	2.00000000e+00	8.60463953e-01
50	1.20673051e-02	2.16404513e-02	1.90415376e-01	2.00000000e+00	7.88792525e-01
51	1.34360899e-02	2.31597086e-02	1.93972861e-01	2.00000000e+00	8.80437227e-01
52	1.42938261e-02	2.33203075e-02	1.94226141e-01	2.00000000e+00	9.40190948e-01
53	1.41123167e-02	2.22285455e-02	1.92163587e-01	2.00000000e+00	9.29571292e-01
54	8.05069126e-03	1.97222938e-02	2.06094323e-01	2.00000000e+00	4.83046624e-01
55	1.34211031e-02	2.28679960e-02	1.91654008e-01	2.00000000e+00	8.80790869e-01
56	1.45725972e-02	2.35003765e-02	1.99138160e-01	2.00000000e+00	9.56972978e-01
57	1.20455039e-02	2.15176761e-02	1.78647312e-01	2.00000000e+00	7.92312434e-01
58	1.02241423e-02	2.15461376e-02	1.91853510e-01	2.00000000e+00	6.54448825e-01
59	7.16289816e-03	1.49889680e-02	2.11844698e-01	2.00000000e+00	4.01925435e-01
60	4.59559031e-03	1.38035014e-02	2.24362523e-01	2.00000000e+00	1.14882023e-01
