x	exact	n1	n2	n3	n4	n5	n8	n12	n20	n30	n50
0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.002004	2.000000	0.003758	0.015000	0.034595	0.050745	0.061900	0.164649	0.309820	0.312723	0.325271	0.320945
0.004008	2.000000	0.007515	0.029940	0.068868	0.100778	0.122671	0.320633	0.587291	0.595043	0.615982	0.606772
0.006012	2.000000	0.011273	0.044819	0.102819	0.150105	0.182325	0.468269	0.834891	0.848862	0.874733	0.860356
0.008016	2.000000	0.015030	0.059638	0.136450	0.198731	0.240876	0.607862	1.054954	1.076013	1.103981	1.084386
0.010020	2.000000	0.018788	0.074397	0.169762	0.246661	0.298336	0.739712	1.249676	1.278267	1.306048	1.281375
0.012024	2.000000	0.022545	0.089096	0.202757	0.293900	0.354718	0.864110	1.421119	1.457325	1.483121	1.453673
0.014028	2.000000	0.026303	0.103735	0.235434	0.340455	0.410034	0.981340	1.571219	1.614824	1.637265	1.603471
0.016032	2.000000	0.030060	0.118313	0.267796	0.386329	0.464297	1.091678	1.701793	1.752332	1.770420	1.732811
0.018036	2.000000	0.033818	0.132831	0.299844	0.431529	0.517518	1.195391	1.814544	1.871353	1.884412	1.843596
0.020040	2.000000	0.037575	0.147289	0.331579	0.476059	0.569711	1.292742	1.911063	1.973325	1.980958	1.937593
0.022044	2.000000	0.041333	0.161686	0.363001	0.519924	0.620888	1.383985	1.992841	2.059622	2.061665	2.016447
0.024048	2.000000	0.045090	0.176023	0.394113	0.563130	0.671059	1.469366	2.061268	2.131552	2.128041	2.081681
0.026052	2.000000	0.048848	0.190300	0.424916	0.605682	0.720238	1.549126	2.117642	2.190361	2.181496	2.134706
0.028056	2.000000	0.052605	0.204517	0.455410	0.647585	0.768436	1.623498	2.163172	2.237235	2.223348	2.176828
0.030060	2.000000	0.056363	0.218674	0.485597	0.688843	0.815666	1.692710	2.198981	2.273296	2.254827	2.209255
0.032064	2.000000	0.060120	0.232770	0.515478	0.729463	0.861938	1.756981	2.226114	2.299608	2.277077	2.233098
0.034068	2.000000	0.063878	0.246806	0.545054	0.769448	0.907264	1.816526	2.245540	2.317175	2.291164	2.249381
0.036072	2.000000	0.067635	0.260782	0.574327	0.808805	0.951656	1.871553	2.258156	2.326946	2.298074	2.259046
0.038076	2.000000	0.071393	0.274698	0.603297	0.847538	0.995125	1.922263	2.264791	2.329812	2.298726	2.262955
